jidlo essen
obsluha bedienung
personal personal
prijemna freundlich
dobre gut
prostredi ambiente
opravdu wirklich
restaurace restaurant
super super
velmi sehr
doporucuji empfehlen
mila nette
pizza pizza
kuchyne kuche 
servis service
chutne lecker
vyber auswahl
pekne schon
porce portionen
vic mehr
cena preis
vyborne top
moc viel
ceny preise
prijemne freundlich
mily nett
cerstve frisch
atmosfera atmosphare 
kava kaffee
kvalita qualitat
nejlepsi beste
vzdy immer
trochu wenig
lepsi besser
perfektni perfekt
naprosto absolut
piti getranke
rychla schnell
dnes heute
misto ort
menu speisekarte
ciste sauber
burger burger
cekali warten
nic nichts
skvely tolles
lidi leute
chutna schmeckt
dlouho lange
snidane fruhstuck
studene kalt
